SEND_TIME,TAGS_INCLUDED,TAGS_EXCLUDED,MESSAGE,HAS_LINK,SUBSCRIPTIONS_TARGETED,VIEWS,CLICKS,CLICKTHROUGH_RATE,ETL_RECORD_UPDATED
"May 9, 2024 8:26:39 PM",SEND2 I:END_QUARTER  IO:OR EO:OR,,"NYL 65 @ CON 59 - END 3RD
S Ionescu (NYL): 15 PTS, 6 REB, 2 AST
R Banham (CON): 17 PTS, 1 REB",yes,2065,28,28,1.00,2024-06-07 09:05:20.000 Z
"May 9, 2024 9:05:47 PM",SEND2 I:END_QUARTER  IO:OR EO:OR,,"NYL 82 @ CON 79 - FINAL
S Ionescu (NYL): 15 PTS, 6 REB, 2 AST
R Banham (CON): 20 PTS, 1 REB, 1 AST",yes,2016,2,2,1.00,2024-06-07 09:05:20.000 Z
"May 9, 2024 8:26:39 PM",SEND2 I:END_QUARTER  IO:OR EO:OR,,"NYL 65 @ CON 59 - END 3RD
S Ionescu (NYL): 15 PTS, 6 REB, 2 AST
R Banham (CON): 17 PTS, 1 REB",yes,2065,14,14,1.00,2024-06-07 09:05:20.000 Z
"May 9, 2024 9:05:47 PM",SEND2 I:END_QUARTER  IO:OR EO:OR,,"NYL 82 @ CON 79 - FINAL
S Ionescu (NYL): 15 PTS, 6 REB, 2 AST
R Banham (CON): 20 PTS, 1 REB, 1 AST",yes,2016,27,27,1.00,2024-06-07 09:05:20.000 Z
"May 9, 2024 9:05:47 PM",SEND2 I:END_QUARTER  IO:OR EO:OR,,"NYL 82 @ CON 79 - FINAL
S Ionescu (NYL): 15 PTS, 6 REB, 2 AST
R Banham (CON): 20 PTS, 1 REB, 1 AST",yes,2016,2,2,1.00,2024-06-07 09:05:20.000 Z
"May 9, 2024 8:26:39 PM",SEND2 I:END_QUARTER  IO:OR EO:OR,,"NYL 65 @ CON 59 - END 3RD
S Ionescu (NYL): 15 PTS, 6 REB, 2 AST
R Banham (CON): 17 PTS, 1 REB",yes,2065,2,2,1.00,2024-06-07 09:05:20.000 Z
"May 9, 2024 9:05:47 PM",SEND2 I:END_QUARTER  IO:OR EO:OR,,"NYL 82 @ CON 79 - FINAL
S Ionescu (NYL): 15 PTS, 6 REB, 2 AST
R Banham (CON): 20 PTS, 1 REB, 1 AST",yes,2016,1,1,1.00,2024-06-07 09:05:20.000 Z
"May 14, 2024 7:35:31 PM",SEND2 I:START_GAME  IO:OR EO:OR,,"IND @ CON - START
Tune in to Disney+, ESPN+, ESPN2, WNBA League Pass to watch live!",yes,2263,53,53,1.00,2024-06-07 09:05:20.000 Z
"May 14, 2024 7:58:51 PM",SEND2 I:END_QUARTER  IO:OR EO:OR,,"IND 13 @ CON 19 - END 1ST
N Smith (IND): 7 PTS, 3 REB
T Harris (CON): 9 PTS, 1 AST",yes,2149,51,51,1.00,2024-06-07 09:05:20.000 Z
"May 14, 2024 8:30:48 PM",SEND2 I:END_QUARTER  IO:OR EO:OR,,"IND 39 @ CON 49 - HALF
N Smith (IND): 11 PTS, 5 REB, 1 AST
D Carrington (CON): 14 PTS, 3 REB, 1 AST",yes,2154,52,52,1.00,2024-06-07 09:05:20.000 Z
"May 14, 2024 9:12:21 PM",SEND2 I:END_QUARTER  IO:OR EO:OR,,"IND 57 @ CON 64 - END 3RD
N Smith (IND): 13 PTS, 9 REB, 1 AST
D Bonner (CON): 16 PTS, 5 REB, 1 AST",yes,2164,44,44,1.00,2024-06-07 09:05:20.000 Z
